timestamp,burst
1447410489695088,1
1447410489757589,1
1447410489820089,1
1447410489882590,1
1447410489945089,1
1447410490007590,1
1447410490070090,1
1447410490132591,1
1447410490195091,1
1447410490257604,1
1447410490320093,1
1447410490382593,1
1447410490445094,1
1447410490507594,1
1447410490570095,1
1447410490632596,1
1447410490695096,1
1447410490757597,1
1447410490820097,1
1447410490882597,1
1447410490945098,1
1447410491007598,1
1447410491070100,1
1447410491132600,1
1447410491195100,1
1447410491257601,1
1447410491320102,1
1447410491382601,1
1447410491445102,1
1447410491507602,1
1447410491570101,1
1447410491632604,1
1447410491695102,1
1447410491757603,1
1447410491820103,1
1447410491882604,1
1447410491945104,1
1447410492007605,1
1447410492070105,1
1447410492132606,1
1447410492195106,1
1447410492257607,1
1447410492320108,1
1447410492382609,1
1447410492445109,1
1447410492507610,1
1447410492570110,1
1447410492632610,1
1447410492695111,1
1447410492757612,1
1447410492820115,1
1447410492882615,1
1447410492945113,1
1447410493007619,1
1447410493070116,1
1447410493132615,1
1447410493195115,1
1447410493257616,1
1447410493320117,1
1447410493382617,1
1447410493445119,1
1447410493507618,1
1447410493570118,1
1447410493632620,1
1447410493695120,1
1447410493757622,1
1447410493820120,1
1447410493882622,1
1447410493945122,1
1447410494007624,1
1447410494070126,1
1447410494132625,1
1447410494195126,1
1447410494257627,1
1447410494320137,1
1447410494382626,1
1447410494445126,1
1447410494507629,1
1447410494570127,1
1447410494632628,1
1447410494695128,1
1447410494757628,1
1447410494820131,1
1447410494882631,1
1447410494945131,1
1447410495007631,1
1447410495070130,1
1447410495132634,1
1447410495195131,1
1447410495257636,1
1447410495320137,1
1447410495382637,1
1447410495445134,1
1447410495507634,1
1447410495570135,1
1447410495632636,1
1447410495695137,1
1447410495757637,1
1447410495820137,1
1447410495882637,1
1447410495945140,1
1447410496007644,1
1447410496070141,1
1447410496132639,1
1447410496195140,1
1447410496257641,1
1447410496320141,1
1447410496382642,1
1447410496445143,1
1447410496507643,1
1447410496570144,1
1447410496632646,1
1447410496695145,1
1447410496757659,1
1447410496820146,1
1447410496882647,1
1447410496945147,1
1447410497007647,1
1447410497070148,1
1447410497132649,1
1447410497195149,1
1447410497257649,1
1447410497320151,1
1447410497382652,1
1447410497445153,1
1447410497507652,1
1447410497570154,1
1447410497632653,1
1447410497695155,1
1447410497757657,1
1447410497820157,1
1447410497882655,1
1447410497945155,1
1447410498007658,1
1447410498070157,1
1447410498132657,1
1447410498195156,1
1447410498257657,1
1447410498320157,1
1447410498382658,1
1447410498445161,1
1447410498507659,1
1447410498570160,1
1447410498632660,1
1447410498695161,1
1447410498757664,1
1447410498820161,1
1447410498882664,1
1447410498945163,1
1447410499007665,1
1447410499070166,1
1447410499132666,1
1447410499195167,1
1447410499257668,1
1447410499320167,1
1447410499382670,1
1447410499445170,1
1447410499507668,1
1447410499570169,1
1447410499632668,1
1447410499695169,1
1447410499757671,1
1447410499820174,1
1447410499882674,1
1447410499945174,1
1447410500007674,1
1447410500070173,1
1447410500132675,1
1447410500195175,1
1447410500257678,1
1447410500320176,1
1447410500382676,1
1447410500445179,1
1447410500507677,1
1447410500570178,1
1447410500632679,1
1447410500695180,1
1447410500757681,1
1447410500820181,1
1447410500882681,1
1447410500945181,1
1447410501007681,1
1447410501070183,1
1447410501132683,1
1447410501195184,1
1447410501257685,1
1447410501320187,1
1447410501382687,1
1447410501445189,1
1447410501507688,1
1447410501570187,1
1447410501632689,1
1447410501695190,1
1447410501757691,1
1447410501820191,1
1447410501882692,1
1447410501945192,1
1447410502007693,1
1447410502070193,1
1447410502132695,1
1447410502195193,1
1447410502257694,1
1447410502320195,1
1447410502382695,1
1447410502445198,1
1447410502507699,1
1447410502570209,1
1447410502632702,1
1447410502695202,1
1447410502757702,1
1447410502820201,1
1447410502882701,1
1447410502945204,1
1447410503007704,1
1447410503070206,1
1447410503132704,1
1447410503195206,1
1447410503257709,1
1447410503320209,1
1447410503382707,1
1447410503445208,1
1447410503507709,1
1447410503570208,1
1447410503632708,1
1447410503695209,1
1447410503757710,1
1447410503820212,1
1447410503882714,1
1447410503945212,1
1447410504007714,1
1447410504070217,1
1447410504132716,1
1447410504195216,1
1447410504257718,1
1447410504320216,1
1447410504382719,1
1447410504445219,1
1447410504507722,1
1447410504570232,1
1447410504632720,1
1447410504695221,1
1447410504757723,1
1447410504820224,1
1447410504882724,1
1447410505007725,1
1447410505070225,1
1447410505132736,1
1447410505195228,1
1447410505320233,1
1447410505382727,1
1447410505445228,1
1447410505570228,1
1447410505632729,1
1447410505757744,1
1447410505820232,1
1447410505882731,1
1447410505945234,1
1447410506070232,1
1447410506132736,1
1447410506257735,1
1447410506320239,1
1447410506382736,1
1447410506445236,1
1447410506570239,1
1447410506632739,1
1447410506695237,1
1447410506757741,1
1447410506882739,1
1447410506945239,1
1447410507007740,1
1447410507070242,1
1447410507195242,1
1447410507257742,1
1447410507320245,1
1447410507382743,1
1447410507507746,1
1447410507570246,1
1447410507632748,1
1447410507695246,1
1447410507820246,1
1447410507882748,1
1447410507945251,1
1447410508070251,1
1447410508132754,1
1447410508195251,1
1447410508257752,1
1447410508320253,1
1447410508445253,1
1447410508507755,1
1447410508570255,1
1447410508632756,1
1447410508757756,1
1447410508820258,1
1447410508882756,1
1447410508945259,1
1447410509070259,1
1447410509132760,1
1447410509195258,1
1447410509320260,1
1447410509382760,1
1447410509507761,1
1447410509570261,1
1447410509632774,1
1447410509695263,1
1447410509820263,1
1447410509882766,1
1447410509945268,1
1447410510070267,1
1447410510132767,1
1447410510195268,1
1447410510320269,1
1447410510382771,1
1447410510445269,1
1447410510507776,1
1447410510570277,1
1447410510695276,1
1447410510757772,1
1447410510820275,1
1447410510882775,1
1447410511007775,1
1447410511070276,1
1447410511132775,1
1447410511257780,1
1447410511320279,1
1447410511382778,1
1447410511507778,1
1447410511570279,1
1447410511695280,1
1447410511757779,1
1447410511820281,1
1447410511882782,1
1447410512007782,1
1447410512070284,1
1447410512132784,1
1447410512195285,1
1447410512320287,1
1447410512382786,1
1447410512507786,1
1447410512570289,1
1447410512632789,1
1447410512695288,1
1447410512757790,1
1447410512882792,1
